Name,Web,Facebook Page Username,Page Followers,Following,Page Likes,Page Checked
Zaha Hadid Architects,http://www.zaha-hadid.com/,ZHANews ,"289,750",,"237,260","2,147"
Foster + Partners,https://www.fosterandpartners.com/,fosterpartners ,"179,993",Manual Check,"157,571","4,844"
John Pawson,http://www.johnpawson.com/,johnpawsonnews,"5,517",,"5,040",Manual Check
David Chipperfield Architects,https://davidchipperfield.com/,DAVID-CHIPPERFIELD-46305232270,"11,732",,"10,044",Manual Check
Adjaye Associates,https://www.adjaye.com/,adjayeassociates ,"16,469",Manual Check,"14,763",Manual Check
Grimshaw,https://grimshaw.global//,GrimshawArchitects,"9,074",Manual Check,"7,616",Manual Check
Heatherwick Studio,http://www.heatherwick.com/,Heatherwick-Studio/218434211552490,Manual Check,Manual Check,Manual Check,Manual Check
Rogers Stirk Harbour + Partners,https://www.rsh-p.com/,RogersStirkHarbourPartners,"6,893",,"6,513",286
Morris+Company,https://morrisand.company/,mocoarch,644,,525,Manual Check
Farshid Moussavi Architecture,https://www.farshidmoussavi.com/,Farshid-Moussavi-393471140812170,"12,494",,"12,181",Manual Check
Make,https://www.makearchitects.com/,makearchitects ,505,,434,85
BDP,https://www.bdp.com/,BDPdotCOM,"4,557",Manual Check,"4,195",Manual Check
RMJM,https://www.rmjm.com/,rmjmarchitecture,"10,134",,"9,642",Manual Check
Sam Jacob Studio,https://www.samjacob.com/,SamJacobStudio,"1,921",,"1,799",Manual Check
Koto Design,https://kotodesign.co.uk/,kotocabins,1.8K followers,110 following,Manual Check,Manual Check
Strom Architects,http://www.stromarchitects.com/,StromArchitects ,"7,151",Manual Check,"6,403",2
Gregory Phillips Architects,https://gregoryphillips.com/,GregoryPhillipsArchitects,"2,524",Manual Check,"2,052",3
WilkinsonEyre,http://www.wilkinsoneyre.com/,Wilkinson-Eyre-Architects-136397753204168,"1,478",,"1,348",86
Mamou-Mani,https://mamou-mani.com/,MamouManiArch,"5,189",Manual Check,"4,999",196
Amos Goldreich Architecture,https://www.agarchitecture.net/,agarchitecture,"2,323",,"2,107",89
Broadway Malyan,https://www.broadwaymalyan.com/,Broadway-Malyan-224445080918146,Manual Check,12 following,3.8K likes,Manual Check
Allford Hall Monaghan Morris,https://www.ahmm.co.uk/,AHMMArchitects,2.4K followers,40 following,Manual Check,Manual Check
Allies and Morrison,https://www.alliesandmorrison.com/,Allies-and-Morrison/154847881205619,Manual Check,Manual Check,Manual Check,Manual Check
SHH,https://shh.co.uk/,SHHArchitects,"2,951",Manual Check,"2,385",46
Hyde + Hyde Architects,https://www.hydearchitects.com/,hydearchitects,"4,064",Manual Check,"3,741",Manual Check
Chapman Taylor,https://www.chapmantaylor.com/,chapmantaylorarchitects,Manual Check,33 following,2.8K likes,Manual Check
Mary Duggan Architects,http://www.marydugganarchitects.com/,Mary-Duggan-Architects-351439361936399,96,,77,Manual Check
Charles Holland Architects,http://www.charleshollandarchitects.co.uk/,charleshollarch,193,Manual Check,177,Manual Check
Rural Office for Architecture,http://www.ruralofficeforarchitecture.co.uk/,ruraloffice ,316,,283,Manual Check
Studio Indigo,https://studioindigo.co.uk/,studioindigoltd,922,,578,4
Hopkins Architects,https://www.hopkins.co.uk/,hopkinsarchitects ,"4,383",,"3,857",55
Squire & Partners,http://www.squireandpartners.com/,squirepartners,235,,203,142
Alison Brooks Architects,https://www.alisonbrooksarchitects.com/,AlisonBrooksArc  ,"1,776",,"1,543",6
Michaelis Boyd,https://www.michaelisboyd.com/,Michaelis-Boyd-Associates-1456709344630334,301,Manual Check,260,Manual Check
Conran & Partners,https://conranandpartners.com/,weareconran  ,"2,297",Manual Check,"1,994",104
Oâ€™Donnell + Tuomey,https://odonnell-tuomey.ie/,odonnell.tuomey,"1,920",Manual Check,"1,771",6
Associated Architects,http://www.associated-architects.co.uk/,AssociatedArchitectsLLP ,647,Manual Check,535,21
31/44 Architects,https://www.3144architects.com/,3144architects,"1,464",Manual Check,"1,410",233
AL_A,https://www.ala.uk.com/,ala.london.uk,"3,605",,"3,516",49
Patrick Bradley Architects,https://www.pb-architects.com/,patrickbradley.architects,Manual Check,Manual Check,Manual Check,Manual Check
Grafton Architects,http://www.graftonarchitects.ie/,GraftonArchitects,"5,329",,"4,779",Manual Check
PLP Architecture,http://www.plparchitecture.com/,plparch ,"2,258",Manual Check,"1,987",Manual Check
3D Reid,https://www.3dreid.com/,3DReid ,"3,932",Manual Check,"3,806",Manual Check
Scott Brownrigg,http://www.scottbrownrigg.com/,Scottbrownriggltd ,560,Manual Check,437,80
Stride Treglown,https://stridetreglown.com/,StrideTreglown,247,,213,Manual Check
Jestico + Whiles,https://www.jesticowhiles.com/,JesticoandWhiles,"1,908",,"1,593",76
HLM Architects,https://hlmarchitects.com/,HLM-Architects-111402107978130,13,,10,Manual Check
Ryder Architecture,http://www.ryderarchitecture.com/,ryder.architecture,"1,253",,"1,085",17
Fraher & Findlay,https://fraherandfindlay.com/,fraherandfindlay ,"1,459",,"1,370",Manual Check
Purcell,https://www.purcelluk.com/,Purcell.Architecture.0,513,Manual Check,423,Manual Check
Architype,https://architype.co.uk/,Architype-Architects-108390669213191,985,Manual Check,861,Manual Check
IF_DO,https://www.ifdo.co/,ifdoarchitecture,880,,812,33
ADAM Architecture,https://adamarchitecture.com/,ADAMArchitecture,Manual Check,25 following,1.9K likes,Manual Check
Universal Design Studio,https://www.universaldesignstudio.com/,universaldesignstudio,228,,198,5
Pardini Hall Architecture,https://www.pardinihallarchitecture.com/,pardinihallarchitecture,"2,641",,"2,575",Manual Check
Office S&M,http://www.officesandm.com/,OfficeSandM ,519 followers,25 following,Manual Check,Manual Check
Architecture for London,https://architectureforlondon.com/,ArchitectureForLondon,667,Manual Check,546,7
John McAslan + Partners,http://www.mcaslan.co.uk/,johnmcaslanpartners,"1,915",,"1,747",57
AR Design Studio,https://ardesignstudio.co.uk/,ardesignstudioarchitects,4.7K followers,125 following,Manual Check,Manual Check
Optimise Design,https://www.optimise-design.com/,optimisedesign,Manual Check,194 following,2.4K likes,Manual Check
EPR Architects,https://www.epr.co.uk/,epr.architects,"2,874",,"2,642",39
Scenario Architecture,https://scenarioarchitecture.com/,scenarioarch,"6,636",,"6,234",14
HTA Design,http://www.hta.co.uk/,HTADesignLLP ,196,,143,42
PRP,https://www.prp-co.uk/,PRPArchitectsLLP ,180,,165,8
DF-DC,https://www.df-dc.co.uk/,DF_DC-architects-2296224950439941,141,,134,Manual Check
Cullinan Studio,https://www.cullinanstudio.com/,CullinanStudio,"1,932",,"1,869",25
Darling Associates,https://www.darlingassociates.net/,DarlingAssociates,"1,354",,"1,250",105
Waugh Thistleton Architects,http://www.waughthistleton.com/,WaughThistletonArchitects ,"2,054",,"1,935",5
Richard Murphy Architects,http://www.richardmurphyarchitects.com/,RichardMurphyArchitects,Manual Check,9 following,4K likes,Manual Check
